"","waldStat","df","pvalue","padj"
"Stk4",0,4,1,1
"Pigt",0.19002159665696,4,0.995762430322505,1
"Dnttip1",0,4,1,1
"Ube2c",1.28522004572384,4,0.863878134007295,1
"Ctsa",0.124834564517985,4,0.998131232859075,1
"Pcif1",0.481530326369966,4,0.975273917133498,1
"Mmp9",5.54116061383433,2,0.0626256520962238,1
"Ncoa3",0,3,1,1
"Trp53rkb",0,2,1,1
"Arfgef2",0.414791238425126,4,0.981248086333546,1
"Cse1l",3.40740132942902,4,0.492097105244743,1
"Ddx27",0.53913027997945,2,0.763711529740832,1
"Slc9a8",0.822722267175,4,0.93537613059796,1
"Rnf114",0.014128018359575,2,0.992960882287388,1
"Cebpb",0,5,1,1
"Ptpn1",0,2,1,1
"Mocs3",0.726786610793127,4,0.947984965823318,1
"Pfdn4",1.00689760691468,4,0.908748289705921,1
"Cstf1",0.647361990020239,4,0.957658049448569,1
"Rtf2",0.252625804941032,2,0.881339030473867,1
"Rae1",0,4,1,1
"Rbm38",0,4,1,1
"Rab22a",0.00299656616972341,4,0.999998878694411,1
"Vapb",0,4,1,1
"Stx16",7.08796920230482,4,0.131311842363267,1
"Npepl1",0.846434835631902,4,0.932116639887322,1
"Gnas",0,4,1,1
"Nelfcd",0.854755201933495,4,0.930960262024688,1
"Fam217b",0.60997378812542,4,0.961948950048355,1
"Lsm14b",0.00837899645837935,4,0.99999124852504,1
"Mtg2",0.869165120753098,4,0.928942299736342,1
"Osbpl2",0.0472537834563751,3,0.997306447854673,1
"Adrm1",0,4,1,1
"Rps21",0,4,1,1
"Slco4a1",17.7735910285042,4,0.00136637308368048,0.0921863087833603
"Mrgbp",0,4,1,1
"Ogfr",9.86884267818732,4,0.0426959241904834,0.916026348588958
"Gid8",0,4,1,1
"Slc17a9",0,4,1,1
"Arfgap1",0,4,1,1
"Ppdpf",2.81791201675632,4,0.588744752716603,1
"Tpd52l2",0.282038807026288,4,0.99094392841073,1
"Dnajc5",0,4,1,1
"Prpf6",3.74130990868662,4,0.442146172961414,1
"Pcmtd2",7.43751029355521,4,0.114496603285675,1
"Polr3k",0,4,1,1
"Pex2",0.86440237921461,4,0.929611394625932,1
"Mrps28",9.75796272111521,2,0.00760475658847992,0.327049005565388
"Tpd52",4.4810797113288,5,0.482418892248508,1
"Zfp704",5.76579111716487,2,0.0559724564370784,1
"Pag1",0.0619783596167076,4,0.999529640973647,1
"Impa1",0.0132780201869571,4,0.99997805907142,1
"Zfand1",0.0404762488128967,2,0.979965291867484,1
"Car1",0.264440280090533,4,0.991992522858734,1
"Gm9733",1.80967410659666,3,0.612832007938984,1
"Armc1",6.26459200812917,4,0.180240570366859,1
"Pde7a",4.44417352884583,4,0.349218474472247,1
"Hps3",0.00195943163028885,4,0.999999520391804,1
"Gyg",0,4,1,1
"Cpa3",8.02532402465583,4,0.0906549354127082,1
"Gm43672",0,4,1,1
"Ect2",8.09508479238787,4,0.0881565625320546,1
"Fndc3b",5.31261198289093,4,0.256698599818258,1
"Mrpl47",0.376301986460915,4,0.984370742863564,1
"Dnajc19",0,4,1,1
"Dcun1d1",0.0328924444182693,4,0.999866234564348,1
"Anxa5",0.185890271113764,4,0.995939143847307,1
"Ccna2",1.89962661335032,4,0.754213587267991,1
"Nudt6",0,4,1,1
"Pgrmc2",4.46114087903593,3,0.215782732762301,1
"Sclt1",0.997554738179855,4,0.910166544193416,1
"Elf2",0,4,1,1
"Ndufc1",0,4,1,1
"Setd7",0,4,1,1
"Maml3",0.689286829181126,2,0.708472939544091,1
"Cog6",2.29077930730942,4,0.682448330472129,1
"Ufm1",3.4455104638266,4,0.486211817581479,1
"Exosc8",0,4,1,1
"Rfxap",0,4,1,1
"Sertm1",0.532248416648575,4,0.970286608377321,1
"Commd2",0,4,1,1
"Serp1",0,4,1,1
"Siah2",0.267551810435939,4,0.991811377042876,1
"Gpr171",0.216087218735794,2,0.897588452311879,1
"Dhx36",0,4,1,1
"Ssr3",0,4,1,1
"Ccnl1",3.51155270785045,4,0.476123905543841,1
"Lxn",1.01557716955792,2,0.601824993277336,1
"Ift80",2.9851054486233,4,0.560321054179949,1
"Trim59",0.0396701433184936,4,0.999805866957515,1
"Kpna4",10.35916351826,4,0.0347932747055104,0.839456620121008
"Pdcd10",0.00196056052327558,4,0.999999519839189,1
"Golim4",0.0813833735383516,4,0.999194213566425,1
"Fnip2",0.084958037397885,4,0.999122914705453,1
"Etfdh",1.84732692734595,4,0.763813185234962,1
"Tmem131l",0,2,1,1
"Mnd1",0.0326589426267458,3,0.998445571038395,1
"Arfip1",3.66373753143061,4,0.45342204038285,1
"Rps3a1",0.346606775501506,4,0.986610242189105,1
"Cd1d1",3.20393562558855,2,0.201499614087796,1
"Prcc",0.614874807576502,4,0.961396501292173,1
"Rrnad1",1.68345076048903,2,0.430966300838708,1
"Naxe",2.20317317463416,4,0.698448375917778,1
"X1700113A16Rik",0.528196683514878,3,0.912654463232533,1
"Pmf1",12.4551370500496,4,0.0142690011133265,0.503747001742657
"Slc25a44",2.01343282179625,4,0.733288071369338,1
"Sema4a",0.440197965390754,4,0.97905545464377,1
"Lamtor2",7.19572304554686,4,0.125899637938143,1
"Dap3",1.16953008911064,4,0.883089358196496,1
"Fdps",0.350532263949516,4,0.986322878771141,1
"Mtx1",1.11317854709515,4,0.892175685481326,1
"Slc50a1",1.38499198265012,2,0.500325700652311,1
"Adam15",0.0024448987972639,4,0.99999925341739,1
"Zbtb7b",1.37467549084788,4,0.848584376630187,1
"Cks1b",12.2019107739986,2,0.00224072593610436,0.133969906781394
"Il6ra",0.0684808387255557,4,0.999427007809556,1
"Ubap2l",2.37230121351684,4,0.667638564269414,1
"Rps27",0.490010834299257,4,0.974466111295694,1
"Ints3",0,4,1,1
"Snapin",1.52469367595258,4,0.822258475324644,1
"Chtop",1.40797613499214,4,0.842807547556832,1
"S100a1",0.108060802708977,4,0.998591884464875,1
"S100a9",1.25646917462143,5,0.93934657552562,1
"Snx27",4.06330758589188,4,0.397505894498787,1
"Psmb4",1.82456719511863,4,0.767984699279669,1
"Zfp687",0.0298741844781446,4,0.999889546344827,1
"Psmd4",0,4,1,1
"Pip5k1a",0.653336890500211,4,0.956956279063404,1
"Scnm1",0.95632842487015,4,0.916344135036755,1
"Tnfaip8l2",0,4,1,1
"Gabpb2",1.91454209360623,4,0.751473099025761,1
"Mllt11",1.43805242551515,4,0.837555090594331,1
"Setdb1",3.220812058713,4,0.521576014802498,1
"Tars2",8.77885008075263,4,0.0668712377903181,1
"Rprd2",0,4,1,1
"Prpf3",4.20149797542321,4,0.37942235681021,1
"Mrps21",0,4,1,1
"BC028528",1.96206164052832,4,0.742736831087262,1
"Plekho1",0.470676787118166,3,0.925284716184361,1
"Vps45",0.500830178897146,2,0.778477578167925,1
"Bola1",2.66172495060273,4,0.6159286715183,1
"Hist2h2ac",0.537287984872908,4,0.969770934978917,1
"Polr3gl",0.583922295132928,4,0.96483342010079,1
"Polr3c",0,4,1,1
"Gpr89",0.615732242412367,2,0.735013714171834,1
"Bcl9",0.235757541704763,2,0.888803795010195,1
"Chd1l",0.224886729268185,4,0.994132740922697,1
"Phgdh",NA,NA,NA,NA
"Wdr3",2.36957615738037,4,0.668132184519465,1
"Man1a2",0.0358254066941093,4,0.999841470574191,1
"Ttf2",2.98798824170911,4,0.55983754759688,1
"Ptgfrn",0.176627872223727,4,0.99632249357236,1
"Atp1a1",2.97983638451834,4,0.561205384132141,1
"Slc22a15",3.78451647129862,4,0.43595308604454,1
"Hipk1",0,4,1,1
"Dclre1b",6.0428900189312,4,0.195968035676907,1
"Capza1",0,4,1,1
"Ddx20",2.58756528319962,4,0.629027452720101,1
"Rap1a",0.692901772606672,4,0.952201383968092,1
"I830077J02Rik",0,2,1,1
"Atp5f1",0,4,1,1
"Chil3",51.9657983810128,4,1.40235822954082e-10,4.68770110001964e-08
"Cept1",0,4,1,1
"Cd53",0.599676346304597,4,0.963099645378382,1
"Rbm15",8.51050861576145,4,0.0745693353017145,1
"Strip1",0.000480562176291467,4,0.999999971137123,1
"Ahcyl1",0.209793410392673,4,0.994868358037395,1
"Gstm1",2.64525651742803,2,0.266434123123969,1
"Gstm4",3.38873181431708,3,0.33548253136267,1
"Ampd2",1.09111140544081,4,0.895679904835673,1
"Gnai3",0,4,1,1
"Sars",3.89922331930575,4,0.419816260358369,1
"Tmem167b",1.4511948043207,4,0.835250088708766,1
"Gpsm2",0.0969766053260046,2,0.952668482924951,1
"Stxbp3",0,3,1,1
"Prpf38b",3.75073317693231,4,0.440790129641847,1
"Fam102b",0.236979539072915,4,0.993510732607657,1
"Rnpc3",0.0382822781911542,2,0.981040889247227,1
"Slc30a7",0.00614999086694582,4,0.999995281882348,1
"Vcam1",7.73428469774278,2,0.0209180606158221,0.633051101929037
"Cdc14a",1.64065045094934,3,0.650208126477927,1
"Rtca",6.39097194881121,4,0.171790976328557,1
"Mfsd14a",0.205633194670248,4,0.995063079745449,1
"Agl",0.320164785944919,4,0.98847555906575,1
"Ptbp2",0,2,1,1
"Abcd3",0.356606329687092,4,0.985872979051352,1
"Fnbp1l",2.51416615963876,4,0.64210093192236,1
"Mettl14",1.38077337133511,4,0.84752971803199,1
"Ugt8a",5.07205857805656,2,0.0791801780186837,1
"Larp7",9.4342160864174,2,0.0089409981762173,0.361275277955506
"Ap1ar",6.93869751934287,3,0.0738775716368011,1
"Fam241a",0.0487279160017621,4,0.999707975849551,1
